Territory,Restaurant ID,Order ID,Order Time,Order Status,Item Name,Customizations,Special Instructions,Item Price,Order Price,Currency
p,c0e74eb2-f68b-431b-abbc-ac77b4776bd7,63e35191-422f-4a13-8649-9c5b5a59339a,2021-01-09 02:35:33 +0000 UTC,completed,Chick-fil-A® Nuggets,"Chick-fil-A® Sauce, 4 ct Chick-fil-A® Nuggets, 8 ct Chick-fil-A® Nuggets",,5,18.83,USD
p,c0e74eb2-f68b-431b-abbc-ac77b4776bd7,63e35191-422f-4a13-8649-9c5b5a59339a,2021-01-09 02:35:33 +0000 UTC,completed,Spicy Deluxe Sandwich,"Chick-fil-A® Sauce, Spicy Deluxe Sandwich w/ Pepper Jack",,6.1,18.83,USD
p,c0e74eb2-f68b-431b-abbc-ac77b4776bd7,63e35191-422f-4a13-8649-9c5b5a59339a,2021-01-09 02:35:33 +0000 UTC,completed,Mac & Cheese,"Small Mac & Cheese, Medium Mac & Cheese",,4.15,18.83,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,cad35323-b82e-4513-98c1-aea0993d1c11,2021-01-05 00:41:47 +0000 UTC,completed,Combo (Chicken and Gyro) Platter,"Regular, No Lettuce, No Tomatoes, Chopped Green Peppers, Jalapenos",,10.95,28.15,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,cad35323-b82e-4513-98c1-aea0993d1c11,2021-01-05 00:41:47 +0000 UTC,completed,Chicken Platter,"Regular, No Pita, Chopped Onions",,10.95,28.15,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,cad35323-b82e-4513-98c1-aea0993d1c11,2021-01-05 00:41:47 +0000 UTC,completed,Hot Sauce Packet,,,0.5,28.15,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,cad35323-b82e-4513-98c1-aea0993d1c11,2021-01-05 00:41:47 +0000 UTC,completed,Hot Sauce Packet,,,0.5,28.15,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,c31274cf-a010-4ebe-9f48-a7c7b0ede57e,2020-12-31 02:22:41 +0000 UTC,completed,Hot Sauce Packet,,,0.5,29.29,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,c31274cf-a010-4ebe-9f48-a7c7b0ede57e,2020-12-31 02:22:41 +0000 UTC,completed,Hot Sauce Packet,,,0.5,29.29,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,c31274cf-a010-4ebe-9f48-a7c7b0ede57e,2020-12-31 02:22:41 +0000 UTC,completed,Hot Sauce Packet,,,0.5,29.29,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,c31274cf-a010-4ebe-9f48-a7c7b0ede57e,2020-12-31 02:22:41 +0000 UTC,completed,Hot Sauce Packet,,,0.5,29.29,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,c31274cf-a010-4ebe-9f48-a7c7b0ede57e,2020-12-31 02:22:41 +0000 UTC,completed,Chicken Platter,"Regular, No Pita, Chopped Onions",,10.95,29.29,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,c31274cf-a010-4ebe-9f48-a7c7b0ede57e,2020-12-31 02:22:41 +0000 UTC,completed,Combo (Chicken and Gyro) Platter,"Regular, No Lettuce, No Tomatoes, Chopped Green Peppers, Jalapenos",,10.95,29.29,USD
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Fire Sauce Packet,,,0,19.53,USD
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Fire Sauce Packet,,,0,19.53,USD
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Fire Sauce Packet,,,0,19.53,USD
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Fire Sauce Packet,,,0,19.53,USD
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Fire Sauce Packet,,,0,19.53,USD
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Soft Taco,,,1.63,19.53,USD
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Soft Taco,,,1.63,19.53,USD
